FID,Tract,SPA,SD,CD,totUnshelt,totSheltPe,totPeople,Shape__Area,Shape__Length
1,980024,2,3,6,253.647,0,253.647,12137174.2460938,17069.4218433301
2,980026,2,5,7,0,0,0,20396583.6328125,37922.3517689101
3,101110,2,5,7,1,0,1,1676522.890625,5565.41135694779
4,980028,5,4,11,36.004,0,36.004,25280562.5820313,30401.19946
5,101122,2,5,7,0,0,0,3880996.3046875,11695.3042931576
6,980031,8,4,15,10.474,0,10.474,8904029.33984375,42059.1133330375
7,101210,2,5,7,5.095,0,5.095,954767.578125,4453.10170406707
8,101220,2,5,7,34,0,34,1025573.92578125,4688.1769173899
9,101300,2,5,7,20.108,0,20.108,3785887.23046875,10858.2753024641
10,101400,2,5,7,11.995,0,11.995,9255377.47265625,15739.7282605095
11,102103,2,5,2,8.093,0,8.093,1739784.953125,6029.10085005839
12,102104,2,5,2,0,0,0,2433715.578125,10171.245042493
13,102105,2,5,2,9.802,0,9.802,721516.50390625,3671.8133724617
14,102107,2,5,7,4.616,0,4.616,18955574.7773438,23492.9186760341
15,103101,2,5,7,6.781,0,6.781,2979795.125,9383.13577993172
16,103102,2,5,7,12.4,0,12.4,1821420.59375,6100.1629121095
17,103200,2,5,7,55.271,0,55.271,10887869.9765625,19467.7977821276
18,103300,2,5,7,14.775,0,14.775,9013237.42578125,13780.6462507139
19,103400,2,5,7,17.795,0,17.795,3669558.77734375,9221.54164939018
20,104103,2,3,7,33.106,0,33.106,1393607.99609375,4886.68426893879
21,104105,2,3,7,6.781,8,14.781,858372.1640625,4298.39553656417
22,104108,2,3,7,6.116,0,6.116,1609944.8828125,7002.32622622249
23,104124,2,3,7,0,0,0,6580440.21875,14632.9178320479
24,104201,2,3,7,24.114,0,24.114,1600788.3828125,5470.88632124861
25,104203,2,3,7,1.591,0,1.591,1039433.62109375,4082.24995239521
26,104204,2,3,7,16.569,0,16.569,3916346.4921875,11176.9949488311
27,104310,2,3,7,5.781,0,5.781,2214855.078125,7054.24648399188
28,104320,2,3,7,2.591,0,2.591,1779471.45703125,5394.83669459881
29,104401,2,3,7,1.926,0,1.926,999745.44921875,4589.25134630639
30,104403,2,3,7,20.465,0,20.465,1022519.87890625,5936.21618063527
31,104404,2,3,7,13.795,0,13.795,791998.21484375,4037.76168905708
32,104500,2,3,7,1.926,21,22.926,779197.6875,4173.33528534315
33,104610,2,3,7,3.095,0,3.095,869006.79296875,4283.90744110029
34,104620,2,3,7,19.28,0,19.28,779486.5859375,4173.36868580479
35,104701,2,3,7,1.808,0,1.808,808054.89453125,4097.84094800109
36,104703,2,3,7,61.689,0,61.689,1716634.24609375,5673.51162950635
37,104704,2,3,7,9,0,9,2440198.9375,6267.32396923676
38,104810,2,3,7,0,0,0,1648219.4296875,5258.80535704962
39,104821,2,3,7,2.926,0,2.926,780206.05078125,4173.47143956813
40,104822,2,3,7,25.738,0,25.738,893010.16796875,5103.55752763027
41,106010,2,5,7,0,0,0,3705415.140625,8856.33344949611
42,106020,2,3,7,43.392,0,43.392,2965936.890625,8581.93663506648
43,106111,2,3,7,2.095,0,2.095,5624355.84765625,13051.1532658142
44,106112,2,3,7,12.781,170,182.781,4741841.3671875,18391.1603257844
45,106113,2,3,7,49.881,0,49.881,2112895.8046875,7284.00937945404
46,106114,2,3,7,22.036,0,22.036,1490390.16015625,6355.68889103557
47,106403,2,3,7,4,0,4,1624379.1171875,5283.37593359974
48,106405,2,3,7,3.095,0,3.095,1719491.77734375,5354.83823216673
49,106406,2,3,7,9.379,0,9.379,3064695.6875,7906.72882034894
50,106407,2,3,7,0,0,0,341065.5859375,2348.34120850954
51,106408,2,3,7,2,0,2,336380.09375,2326.26828496577
52,106510,2,3,7,12.282,0,12.282,8424950.9609375,13709.206998602
53,106520,2,3,7,44.462,0,44.462,3241010.3828125,7307.76988793228
54,106603,2,5,12,0,0,0,22482774.1953125,22789.5540635052
55,106604,2,3,7,14.673,0,14.673,3838623.76953125,9716.21473904403
56,106641,2,5,12,0,0,0,1667911.5078125,7051.5825916562
57,106642,2,5,12,4.19,0,4.19,2316654.25390625,7528.67661814255
58,106643,2,5,12,2.095,0,2.095,6362894.44921875,12126.4785014725
59,106645,2,5,12,0,0,0,3712567.93359375,11169.1681052747
60,106646,2,5,12,2.703,0,2.703,2167441.59765625,8662.07658626035
61,106648,2,3,7,0,0,0,1164574.09765625,5043.83891361724
62,106649,2,3,7,0,0,0,1628253.5625,7660.1169325222
63,107010,2,3,7,3.591,0,3.591,1005805.859375,4792.95972459359
64,107020,2,3,7,1.591,0,1.591,1461213.0546875,5418.89403563728
65,108101,2,5,12,0,0,0,1657089.51171875,5417.49995995694
66,108102,2,5,12,0,0,0,3206417.93359375,7003.11392464121
67,108103,2,5,12,0,0,0,3764983.0546875,13551.4179389657
68,108104,2,5,12,0,0,0,1213212.1015625,5450.28251792441
69,108201,2,5,12,4.686,0,4.686,4119277.9140625,11247.3446548112
70,108202,2,5,12,0,0,0,8810781.8125,13459.0130740621
71,109100,2,3,7,35.436,0,35.436,3975092.82421875,9733.62029528849
72,109200,2,3,12,0,0,0,1751685.640625,5544.07273546228
73,109300,2,3,12,55.287,0,55.287,1810110.8671875,6460.00683967738
74,109400,2,3,7,24.81,0,24.81,1895925.625,6477.25757642512
75,109500,2,3,7,81.167,0,81.167,1752409.51171875,7603.12309192852
76,109601,2,3,7,4.021,0,4.021,3298769.47265625,7415.86321041974
77,109603,2,3,7,50.078,0,50.078,1465712.13671875,4954.25287726488
78,109604,2,3,7,34.066,0,34.066,1724263.29296875,5300.09492886341
79,109700,2,3,12,13.202,0,13.202,2328918.73828125,6623.21092125495
80,109800,2,3,12,5.102,0,5.102,2053412.4453125,6116.75332961481
81,111100,2,5,12,0,0,0,1554810.80078125,5005.30560989297
82,111201,2,5,12,1.703,0,1.703,2808145.22265625,9293.31713759591
83,111202,2,5,12,4.181,0,4.181,2740025.4609375,7658.18018331912
84,111204,2,5,12,2.591,0,2.591,4859737.37109375,9582.18296304071
85,111205,2,5,12,1.591,0,1.591,1700728.12890625,5430.26025562949
86,111206,2,5,12,0,0,0,3849723.0234375,8909.01786310349
87,111301,2,5,12,10.532,0,10.532,2937170.4296875,7891.7652492322
88,111302,2,5,12,0,0,0,2278502.203125,6582.45294045398
89,111400,2,5,12,2,0,2,2659125.546875,6698.83270059455
90,113101,2,5,12,3.095,0,3.095,3324379.37890625,7842.03331655942
91,113102,2,5,12,14.664,0,14.664,5392276.3515625,9234.90320606838
92,113211,2,5,12,0,0,0,10689156.734375,13973.1505324069
93,113212,2,5,12,0,0,0,1467326.96484375,5216.89523218177
94,113213,2,5,12,13.368,0,13.368,1908790.265625,6217.20862834495
95,113231,2,5,12,11.56,0,11.56,6071077.28515625,15812.0865505977
96,113232,2,5,12,6.285,0,6.285,3029270.484375,8711.53861559579
97,113233,2,5,3,4.851,0,4.851,1677488.1953125,6170.46193627954
98,113234,2,3,3,8.093,0,8.093,1500015.06640625,6202.15449299202
99,113235,2,5,3,0,0,0,2088426.15625,10684.983868463
100,113237,2,5,12,46.734,180,226.734,6964292.76953125,13460.0150846703
101,113301,2,5,12,14.791,0,14.791,3329541.64453125,8382.95664313134
102,113303,2,5,12,50.502,11,61.502,5986629.15234375,11453.4293721026
103,113321,2,5,12,14.16,0,14.16,1538297.9921875,5043.26610401718
104,113322,2,5,12,10.187,0,10.187,2621427.2578125,7420.97648033011
105,113401,2,3,12,9.19,0,9.19,3595407.82421875,7641.63906294536
106,113421,2,3,3,35.109,0,35.109,3234371.09375,7986.4190920403
107,113422,2,3,3,0,0,0,2243075.6640625,6710.84154574156
108,115101,2,3,12,5,0,5,5694869.890625,9751.34047418245
109,115103,2,5,12,0,0,0,2232295.19140625,8237.87575241072
110,115104,2,3,12,12.361,0,12.361,1496387.515625,7504.97767365651
111,115201,2,3,12,3.095,0,3.095,2013502.796875,6714.81383684808
112,115202,2,3,12,25.674,97,122.674,2553969.953125,6921.24928151274
113,115301,2,3,12,0,0,0,2407621.36328125,8079.93713272583
114,115302,2,3,12,16.898,0,16.898,1228562.4765625,4640.02761684398
115,115401,2,3,12,1,0,1,2793613.60546875,7533.95510370495
116,115403,2,3,12,10.379,0,10.379,1031927.6171875,4102.22457363421
117,115404,2,3,12,2.095,0,2.095,1397885.68359375,4803.56434066358
118,117101,2,3,7,16.274,0,16.274,1143388.890625,4318.49617532103
119,117102,2,3,7,12.327,0,12.327,1523943.21484375,5065.19804288064
120,117201,2,3,7,7.034,0,7.034,1158531.31640625,5057.4865881803
121,117202,2,3,12,5,0,5,2663680.6328125,6680.77177693626
122,117301,2,3,12,0,0,0,1953829.97265625,5977.99040917293
123,117302,2,3,12,0,0,0,3009626.04296875,9682.6026135225
124,117303,2,3,12,49.22,0,49.22,2640467.98046875,6686.21331629347
125,117404,2,3,12,34.102,0,34.102,2589290.57421875,6536.27456003384
126,117405,2,3,7,2,0,2,296022.04296875,2193.37544585555
127,117407,2,3,6,9,0,9,290861.5546875,2175.00683768581
128,117408,2,3,6,57.393,0,57.393,552089.8671875,3045.49447587973
129,117510,2,3,7,14.946,0,14.946,491493.01171875,3017.47838154117
130,117520,2,3,6,20.289,15,35.289,477682.25390625,2866.77857960696
131,117530,2,3,6,70.839,0,70.839,816569.33984375,3672.6055755532
132,119001,2,3,6,3.686,0,3.686,1564325.515625,5135.34226965082
133,119002,2,3,6,19.422,0,19.422,2485031.2734375,7951.8486083607
134,119201,2,3,6,16.211,0,16.211,1396923.8125,4781.39040720942
135,119202,2,3,6,2.095,0,2.095,1421890.90234375,6223.83950322344
136,119310,2,3,6,1.591,0,1.591,629191.9375,3709.01503097782
137,119320,2,3,6,3.181,0,3.181,728456.44921875,3453.44484389566
138,119340,2,3,6,1.591,0,1.591,179150.23046875,1710.52743485433
139,119341,2,3,6,7.829,0,7.829,478737.0390625,3083.98905942842
140,119342,2,3,6,0,0,0,321366.09375,2252.70479372709
141,119400,2,3,6,0,0,0,1645182.8359375,5229.3239613478
142,119700,2,3,6,9.116,0,9.116,1921250.0390625,7506.86233427137
143,119800,2,3,6,20.212,0,20.212,1821688.29296875,5514.11244289863
144,119900,2,3,6,9.802,0,9.802,1543021.4296875,5409.37124371356
145,120010,2,3,6,7.276,0,7.276,829231.59375,3778.02584506816
146,120020,2,3,6,17.712,154,171.712,809467.5078125,5996.07310331942
147,120030,2,3,6,20.165,0,20.165,525741.08203125,2922.38020216778
148,120103,2,3,6,5.294,0,5.294,203097.71484375,2081.70838850082
149,120104,2,3,6,23.159,0,23.159,665543.54296875,3755.10824208302
150,120105,2,3,6,6.116,0,6.116,807911.87109375,5816.53572163131
151,120106,2,3,6,2.095,0,2.095,302478.58984375,2240.20125616657
152,120107,2,3,6,7,0,7,303955.953125,2241.4816154982
153,120108,2,3,6,19.513,0,19.513,567469.64453125,3120.67886614218
154,120300,2,3,6,12.718,0,12.718,2519582.43359375,6837.64583348401
155,120400,2,3,6,5.777,0,5.777,1562656.37109375,6407.81027575319
156,121010,2,3,6,35.117,0,35.117,2975388.47265625,7201.8019146439
157,121020,2,3,2,0,0,0,1208810.26953125,4845.82933203079
158,121101,2,5,6,11.967,0,11.967,692498.54296875,3959.83119717852
159,121102,2,3,6,57.58,0,57.58,11061295.078125,13898.206793953
160,121210,2,3,6,25.138,0,25.138,2985006.91796875,6803.02916580686
161,121221,2,3,6,9.684,0,9.684,736421.03125,4061.060370746
162,121222,2,3,6,28.477,0,28.477,1963885.83984375,6733.71077716248
163,121600,2,3,2,5,0,5,1670035.73828125,6038.36263620042
164,121801,2,3,6,2,0,2,711959.1796875,3897.21653785578
165,121802,2,3,6,41.444,107,148.444,1393331.3828125,5503.32574631169
166,121900,2,3,6,29.957,176,205.957,2471696.875,7417.36319793956
167,122000,2,3,2,38.379,0,38.379,4796158.1484375,11270.6591105608
168,122120,2,3,6,16.187,0,16.187,1055163.66015625,4927.90881703533
169,122121,2,3,2,0,0,0,603923.68359375,4426.43756036945
170,122122,2,3,6,97.874,56,153.874,1513762.08984375,5655.88376361791
171,122200,2,5,2,23.61,0,23.61,2497887.75390625,7165.78015334861
172,122410,2,3,2,13.655,0,13.655,1036209.984375,4103.15667478586
173,122420,2,3,2,17,0,17,1264416.17578125,4572.55389174402
174,123010,2,3,2,26.966,0,26.966,1488814.09375,5034.67567361787
175,123020,2,3,2,26.086,0,26.086,829045.453125,3643.8241541754
176,123103,2,3,2,41.736,0,41.736,1322277.9609375,4965.48573054239
177,123104,2,3,2,6.19,0,6.19,1145101.421875,4255.28554950668
178,123203,2,3,2,10.562,0,10.562,861056.05078125,4708.68315885882
179,123204,2,3,2,16.565,12,28.565,475054.453125,2926.71117348834
180,123205,2,3,2,17.964,0,17.964,1110303.62890625,4256.15387166993
181,123206,2,3,2,17.654,0,17.654,883332.01171875,3789.11278686003
182,123301,2,3,2,49.443,0,49.443,1910447.6328125,6532.06643524671
183,123303,2,3,2,16.09,0,16.09,928188.8359375,4814.27317576813
184,123304,2,3,2,41.369,0,41.369,1288182.37890625,4957.76943844473
185,123410,2,3,2,9.781,0,9.781,728482.69921875,3506.37883598823
186,123420,2,3,2,6.659,0,6.659,1152758.22265625,5438.72472374176
187,123510,2,3,2,16.574,0,16.574,1170006.33984375,4530.14381938457
188,123520,2,3,2,7.589,0,7.589,748422.88671875,4606.28771970931
189,123601,2,3,2,34.187,0,34.187,2244644.89453125,6757.81468331869
190,123602,2,3,2,1,0,1,1358998.6484375,5238.36118939035
191,123700,2,3,2,3.591,0,3.591,1395176.54296875,4836.78876929191
192,123800,2,3,2,47.376,16,63.376,1888926.37890625,6444.81623021229
193,123901,2,3,2,17.781,0,17.781,1892304.5078125,5545.772787509
194,123902,2,3,2,30.658,0,30.658,973134.54296875,4315.58657118437
195,124000,2,3,2,9.42,0,9.42,1976781.98828125,6155.17531921938
196,124102,2,3,2,8.484,0,8.484,950884.70703125,3900.29276452031
197,124103,2,3,2,4.903,0,4.903,474619.21875,2920.53854091597
198,124104,2,3,2,13.979,0,13.979,475299.72265625,2922.3110002271
199,124105,2,3,2,6.095,0,6.095,475387.046875,2922.88986543548
200,124201,2,3,2,9.093,0,9.093,1424817.3984375,4875.6759963089
201,124203,2,3,2,3.616,0,3.616,474948.7734375,2922.05230035119
202,124204,2,3,2,6.998,0,6.998,475041.41015625,2921.24448998952
203,124300,2,3,2,9.876,0,9.876,1305009.2265625,4631.86947610395
204,124400,2,3,2,15.073,0,15.073,1428858.9296875,4869.71456528594
205,124500,2,3,2,0,0,0,1183221.39453125,5184.92241165477
206,124600,2,3,4,4.851,0,4.851,1639929.74609375,5274.20224301
207,124700,2,3,4,15.623,0,15.623,1994124.6328125,6584.05880715643
208,124902,2,3,2,5.724,0,5.724,495848.0546875,2971.83399481404
209,124903,2,3,2,3.926,0,3.926,455999.421875,2879.17980522415
210,125100,2,3,2,4.926,0,4.926,1901617.14453125,5854.13109951839
211,125200,2,3,2,89.038,0,89.038,1909052.09765625,5854.57632140797
212,125310,2,3,2,32.241,0,32.241,1543217.5703125,7097.07102865427
213,125320,2,3,2,46.438,0,46.438,926152.93359375,4840.40242592813
214,125401,2,3,2,11.494,0,11.494,582434.03515625,3729.74523795281
215,125402,2,3,2,8.554,0,8.554,1019378.1015625,4089.25847814754
216,125501,2,3,2,19.535,0,19.535,679524.1875,3402.30909653105
217,125502,2,3,2,1.808,0,1.808,765468.203125,3548.87437570401
218,125600,2,3,4,7.232,0,7.232,1497166.0625,5458.598446712
219,127102,2,3,2,3.926,0,3.926,1259383.91015625,4540.47538255219
220,127103,2,3,2,30.181,0,30.181,419241.03125,2784.63151569645
221,127104,2,3,2,0,0,0,1037435.375,4159.67491253713
222,127210,2,3,6,29.768,0,29.768,2259379.83203125,7256.47001318428
223,127220,2,3,6,22.026,0,22.026,956927.5859375,3910.82757235157
224,127300,2,3,6,50.995,0,50.995,1547135.6015625,5562.43216214939
225,127400,2,3,6,35.221,0,35.221,3203455.66796875,9274.83785477799
226,127520,2,3,6,51.731,0,51.731,533254.37109375,2948.41904082969
227,127603,2,3,6,0,0,0,634455.671875,3594.65297243391
228,127604,2,3,6,1,0,1,637988.87109375,3644.92282137916
229,127605,2,3,6,30.155,0,30.155,950323.39453125,3899.34301110777
230,127606,2,3,6,18.854,0,18.854,800223.92578125,3595.86056980063
231,127711,2,3,6,9.797,0,9.797,1384761.703125,4996.2506181055
232,127712,2,3,6,0,0,0,831801.390625,3620.25408175388
233,127803,2,3,6,21.622,0,21.622,939136.1328125,3882.36048474934
234,127804,2,3,6,0,0,0,935156.625,3868.21519765104
235,127805,2,3,6,2.926,0,2.926,900370.90234375,4865.35497425138
236,127806,2,3,6,33.906,0,33.906,1000926.234375,4968.58079028214
237,127910,2,3,6,9.629,0,9.629,952207.41796875,3904.00586593732
238,127920,2,3,2,0,0,0,950628.60546875,3899.89140008381
239,128101,2,3,2,4.19,0,4.19,950731.109375,3900.12671223832
240,128102,2,3,2,14.686,0,14.686,950604.640625,3900.10354955297
241,128210,2,3,6,47.017,55,102.017,805645.47265625,3601.65912742801
242,128220,2,3,2,0,0,0,813886.796875,3703.63629391793
243,128302,2,3,6,11.785,0,11.785,1009160.5078125,4585.62840928106
244,128303,2,3,6,8.724,15,23.724,606386.1171875,3602.17224523767
245,128400,2,3,4,62.662,0,62.662,2527893.3125,8322.68455718968
246,128500,2,3,4,2.703,0,2.703,1426087.62109375,4880.33339935231
247,128601,2,3,4,25.398,0,25.398,998781.921875,5099.71054207932
248,128602,2,3,4,2,0,2,1661237.02734375,5362.01577080885
249,128702,2,3,4,0,0,0,2431685.8671875,6275.65716912635
250,128801,2,3,4,1,0,1,720658.91015625,3490.80764844851
251,128802,2,3,4,1.808,0,1.808,1422152.4765625,4875.48856992561
252,128910,2,3,4,13.392,0,13.392,1957153.2109375,6407.3455748483
253,131010,2,3,12,3.095,0,3.095,1563768.515625,5380.00987309976
254,131020,2,3,3,9.684,0,9.684,2117542.625,6505.67165948053
255,131100,2,3,6,3,0,3,1615293.71484375,5236.03751833911
256,131200,2,3,12,0,0,0,1654264.0703125,5347.69864428419
257,131300,2,3,12,3.517,0,3.517,1638997.87890625,5316.33900022497
258,131400,2,3,12,0,43,43,1623060.20703125,5283.41222313577
259,131600,2,3,3,7.285,0,7.285,3211809.8828125,7171.68653886821
260,131701,2,3,3,0,0,0,966842.64453125,3933.24748813537
261,131702,2,3,3,17.16,0,17.16,1058307.21484375,4127.39948953587
262,131800,2,3,3,18.924,0,18.924,1928190.203125,5868.42115769245
263,131900,2,3,6,0,0,0,1932046.24609375,5875.75935831379
264,132001,2,3,6,4.19,0,4.19,1419282.9140625,4863.96923204176
265,132002,2,3,6,6.591,0,6.591,2344816.328125,7765.32805982112
266,132101,2,3,6,1,0,1,1187540.69921875,4384.95993449809
267,132102,2,3,6,12.057,0,12.057,2009767.4453125,6973.0809259583
268,132300,2,3,3,18.854,0,18.854,1873664.109375,5820.8334821068
269,132501,2,3,3,35.494,0,35.494,1031398.234375,4072.72612701938
270,132502,2,3,3,9.632,0,9.632,915446.48828125,4047.61482430834
271,132700,2,3,3,16.673,0,16.673,1935939.66796875,5843.81736871093
272,132900,2,3,5,10.474,0,10.474,1749254.8828125,6708.69429034881
273,133000,2,3,3,10.214,0,10.214,1468597.92578125,5227.33834344449
274,133100,2,3,3,19.059,0,19.059,2226791.96875,6252.55840326732
275,134001,2,3,3,6.781,0,6.781,855176.67578125,4485.77547292751
276,134002,2,3,3,7.924,0,7.924,1104341.22265625,5032.55710473436
277,134101,2,3,3,0,0,0,1562414.125,5157.2094200061
278,134103,2,3,3,9.093,0,9.093,1540138.78125,6434.47646765219
279,134104,2,3,3,2.808,0,2.808,949875.20703125,3898.09498082021
280,134201,2,3,3,21.896,0,21.896,2150168.16796875,6072.9341101345
281,134302,2,5,12,1.808,0,1.808,1915851.5546875,5632.50247598694
282,134303,2,3,3,31.971,0,31.971,2301295.1796875,6311.22705877408
283,134304,2,3,3,1,0,1,1495930.421875,5011.35335294814
284,134305,2,3,3,5.926,0,5.926,524252.61328125,2986.87728887345
285,134306,2,3,3,9.537,0,9.537,908586.375,3815.39132361368
286,134421,2,3,12,2.095,0,2.095,3128335.85546875,7127.51685691299
287,134422,2,3,12,25.53,0,25.53,3438752.87890625,9451.45662377738
288,134423,2,5,12,6.285,0,6.285,2297241.8046875,6797.67185542049
289,134424,2,5,12,1.591,0,1.591,5440105.0078125,10093.9656072164
290,134520,2,3,3,36.351,0,36.351,1417378.3125,4854.53327429213
291,134521,2,3,3,36.746,0,36.746,515605.54296875,3023.03502185075
292,134522,2,3,3,2.095,0,2.095,901823.32421875,3792.27766828165
293,134710,2,3,3,0,0,0,836342.44140625,3670.48273135235
294,134720,2,3,3,6.285,0,6.285,1450310.02734375,4906.24224500949
295,134800,2,3,3,3,0,3,2746688.890625,6853.18579110177
296,134901,2,3,3,7.285,0,7.285,1555911.01953125,5597.43823268016
297,134903,2,3,3,18.276,0,18.276,829710.96484375,3867.50446508962
298,134904,2,3,3,8.041,0,8.041,1523448.421875,5781.87382388424
299,134905,2,3,3,11.995,0,11.995,3789336.21484375,8133.95324451056
300,135102,2,3,12,0,0,0,2460502.28125,7031.44310994665
301,135111,2,3,3,6.285,0,6.285,1531780.0078125,4999.06187806456
302,135113,2,3,3,2.095,0,2.095,942782.0859375,4819.15139037653
303,135114,2,3,3,12.4,0,12.4,1860582.421875,6712.35981927288
304,135201,2,3,12,21.51,0,21.51,2244218.08984375,6867.44455635698
305,135202,2,3,12,4.095,0,4.095,2582413.8515625,6577.71273180622
306,135203,2,3,12,3.798,0,3.798,6594909.21875,12333.4038931551
307,137000,2,3,3,0,0,0,2371389.65625,9497.90063377122
308,137103,2,3,3,4.517,0,4.517,1112879.84765625,4346.08448646493
309,137104,2,3,3,3.095,0,3.095,3758387.3125,8627.91298882558
310,137201,2,3,3,1,0,1,2924160.953125,7071.58802787053
311,137301,2,3,3,1,0,1,2357668.8125,7469.35834840954
312,137302,2,3,3,6.285,0,6.285,3583973.19140625,9244.70133737696
313,137401,2,3,3,2.591,0,2.591,3475954.62890625,9805.24571564493
314,137402,2,3,3,7.19,0,7.19,4513540.609375,11474.1054724611
315,137501,2,3,3,5.021,0,5.021,3679447.87890625,8932.92291220747
316,137502,2,3,3,10.811,0,10.811,3060663.8359375,7101.78327932526
317,137504,2,3,3,0,0,0,5617052.1484375,12131.4798170134
318,138000,2,3,3,2.095,0,2.095,6546371.65234375,11522.6137055596
319,139001,2,3,5,0,0,0,1815848.30078125,6538.70339700615
320,139200,2,3,5,0,0,0,1687319.12109375,5170.05230043696
321,139301,2,3,3,16.156,0,16.156,4197411.77734375,9918.89206604453
322,139302,2,3,3,4.021,0,4.021,495500.84765625,2938.53691280306
323,139303,2,3,3,1,0,1,608650.515625,3337.13994206669
324,139401,2,3,3,13.797,0,13.797,1328630.453125,4694.12697060017
325,139402,2,3,3,17.926,0,17.926,3578781.1640625,10539.6098544136
326,139502,2,3,5,2.926,0,2.926,1533837.75390625,6256.07856137391
327,139503,2,3,5,0,0,0,515061.33984375,2991.81727891149
328,139504,2,3,5,1,0,1,423296.734375,2991.88690094169
329,139600,2,3,5,6.946,0,6.946,3627668.515625,7658.02340217871
330,139701,2,3,5,9.021,0,9.021,4976662,12155.5305220663
331,139702,2,3,5,0,0,0,13751475.4882813,24211.3053772812
332,139703,2,3,3,3.181,0,3.181,6921130.84765625,15267.21303417
333,139801,2,3,3,0,0,0,5366146.1015625,10214.529256997
334,139802,2,3,3,0,0,0,8894183.08984375,17299.1403948522
335,141101,2,3,4,0,0,0,1111233.04296875,4326.57920492519
336,141102,2,3,4,1,0,1,1140100.7734375,5653.88084457451
337,141201,2,3,4,15.892,0,15.892,1026239.31640625,4466.15053687095
338,141202,2,3,4,1,0,1,1024825.6796875,4665.74817220257
339,141302,2,3,4,6.829,0,6.829,1859883.79296875,6267.92749669302
340,141303,2,3,4,3.095,0,3.095,383407.12109375,2605.06015079155
